tconst	characters
tt0070034	["Lee"]
tt0070034	["Roper"]
tt0070034	["Tania"]
tt0070034	["Williams"]
tt0070047	["Chris MacNeil"]
tt0070047	["Father Merrin"]
tt0070047	["Lt. Kinderman"]
tt0070047	["Regan"]
tt0070379	["Charlie"]
tt0070379	["Johnny Boy"]
tt0070379	["Teresa"]
tt0070379	["Tony"]
tt0070511	["Henri 'Papillon' Charriere"]
tt0070511	["Indian Chief"]
tt0070511	["Julot"]
tt0070511	["Louis Dega"]
tt0070608	["Allan-a-Dale - The Rooster"]
tt0070608	["Little John - A Bear"]
tt0070608	["Prince John - A Lion","King Richard"]
tt0070608	["Robin Hood - A Fox"]
tt0070666	["Captain McClain"]
tt0070666	["Serpico"]
tt0070666	["Sidney Green"]
tt0070666	["Tom Keough"]
tt0070735	["Doyle Lonnegan"]
tt0070735	["Henry Gondorff"]
tt0070735	["Johnny Hooker"]
tt0070735	["Lt. Wm. Snyder"]
tt0071230	["Bart"]
tt0071230	["Hedley Lamarr"]
tt0071230	["Jim"]
tt0071230	["Taggart"]
tt0071315	["Escobar"]
tt0071315	["Evelyn Mulwray"]
tt0071315	["J.J. Gittes"]
tt0071315	["Noah Cross"]
tt0071360	["Bernie Moran"]
tt0071360	["Harry Caul"]
tt0071360	["Mark"]
tt0071360	["Stan"]
tt0071562	["Kay"]
tt0071562	["Michael"]
tt0071562	["Tom Hagen"]
tt0071562	["Vito Corleone"]
tt0071853	["Dead Collector","Peasant 1","Sir Robin the Not-Quite-So-Brave-as-Sir Launcelot"]
tt0071853	["King Arthur","Voice of God","Middle Head"]
tt0071853	["Patsy","Green Knight","Knight of Camelot"]
tt0071853	["Second Swallow-Savvy Guard","The Black Knight","Peasant 3"]
tt0072271	["Franklin"]
tt0072271	["Hitchhiker"]
tt0072271	["Jerry"]
tt0072271	["Sally"]
tt0072431	["Dr. Frederick Frankenstein"]
tt0072431	["Elizabeth"]
tt0072431	["Igor"]
tt0072431	["The Monster"]
tt0072684	["Barry Lyndon"]
tt0072684	["Capt. Potzdorf"]
tt0072684	["Lady Honoria Lyndon"]
tt0072684	["The Chevalier du Balibari"]
tt0072890	["Mulvaney"]
tt0072890	["Sal"]
tt0072890	["Sonny"]
tt0072890	["Sylvia"]
tt0073195	["Brody"]
tt0073195	["Ellen Brody"]
tt0073195	["Hooper"]
tt0073195	["Quint"]
tt0073486	["Col. Matterson"]
tt0073486	["Ellis"]
tt0073486	["Nurse Ratched"]
tt0073486	["R.P. McMurphy"]
