tconst	titleType	primaryTitle	startYear	averageRating	numVotes
tt0070034	movie	Enter the Dragon	1973	7.6	112401
tt0070047	movie	The Exorcist	1973	8.1	451775
tt0070379	movie	Mean Streets	1973	7.2	118768
tt0070511	movie	Papillon	1973	8.0	137771
tt0070608	movie	Robin Hood	1973	7.5	138028
tt0070666	movie	Serpico	1973	7.7	133830
tt0070735	movie	The Sting	1973	8.3	278175
tt0071230	movie	Blazing Saddles	1974	7.7	151304
tt0071315	movie	Chinatown	1974	8.1	347411
tt0071360	movie	The Conversation	1974	7.7	120719
tt0071562	movie	The Godfather Part II	1974	9.0	1354649
tt0071853	movie	Monty Python and the Holy Grail	1975	8.2	567482
tt0072271	movie	The Texas Chain Saw Massacre	1974	7.4	182044
tt0072431	movie	Young Frankenstein	1974	8.0	168106
tt0072684	movie	Barry Lyndon	1975	8.1	181759
tt0072890	movie	Dog Day Afternoon	1975	8.0	271760
tt0073195	movie	Jaws	1975	8.1	655007
tt0073486	movie	One Flew Over the Cuckoo's Nest	1975	8.7	1065988
tt0073629	movie	The Rocky Horror Picture Show	1975	7.4	165923
tt0074119	movie	All the President's Men	1976	7.9	125295
tt0074285	movie	Carrie	1976	7.4	205314
tt0074486	movie	Eraserhead	1977	7.3	126427
tt0074958	movie	Network	1976	8.1	169425
tt0075005	movie	The Omen	1976	7.5	129951
tt0075148	movie	Rocky	1976	8.1	624213
tt0075314	movie	Taxi Driver	1976	8.2	912892
tt0075686	movie	Annie Hall	1977	8.0	277028
tt0075860	movie	Close Encounters of the Third Kind	1977	7.6	215523
tt0076759	movie	Star Wars: Episode IV - A New Hope	1977	8.6	1440871
tt0076786	movie	Suspiria	1977	7.3	104465
tt0077402	movie	Dawn of the Dead	1978	7.8	127867
tt0077416	movie	The Deer Hunter	1978	8.1	360168
tt0077631	movie	Grease	1978	7.2	298393
tt0077651	movie	Halloween	1978	7.7	305056
tt0077975	movie	National Lampoon's Animal House	1978	7.4	128608
tt0078346	movie	Superman	1978	7.4	186545
tt0078748	movie	Alien	1979	8.5	942838
tt0078788	movie	Apocalypse Now	1979	8.4	705448
tt0079116	movie	Escape from Alcatraz	1979	7.6	146571
tt0079417	movie	Kramer vs. Kramer	1979	7.8	153774
tt0079470	movie	Life of Brian	1979	8.0	420460
tt0079522	movie	Manhattan	1979	7.8	146556
tt0079817	movie	Rocky II	1979	7.3	229873
tt0079944	movie	Stalker	1979	8.1	143678
tt0080120	movie	The Warriors	1979	7.5	109884
tt0080339	movie	Airplane!	1980	7.7	258984
tt0080455	movie	The Blues Brothers	1980	7.9	213113
tt0080487	movie	Caddyshack	1980	7.2	126461
tt0080678	movie	The Elephant Man	1980	8.2	256920
tt0080684	movie	Star Wars: Episode V - The Empire Strikes Back	1980	8.7	1370371
tt0081398	movie	Raging Bull	1980	8.1	377758
tt0081505	movie	The Shining	1980	8.4	1098378
tt0082010	movie	An American Werewolf in London	1981	7.5	119476
tt0082096	movie	The Boat	1981	8.4	263042
tt0082340	movie	Escape from New York	1981	7.1	156150
tt0082406	movie	The Fox and the Hound	1981	7.2	101177
tt0082694	movie	The Road Warrior	1981	7.6	192281
tt0082971	movie	Raiders of the Lost Ark	1981	8.4	1031663
tt0083658	movie	Blade Runner	1982	8.1	817544
tt0083866	movie	E.T. the Extra-Terrestrial	1982	7.9	434969
tt0083907	movie	The Evil Dead	1981	7.4	231197
tt0083929	movie	Fast Times at Ridgemont High	1982	7.1	114963
tt0083944	movie	First Blood	1982	7.7	273392
tt0083987	movie	Gandhi	1982	8.0	239571
tt0084516	movie	Poltergeist	1982	7.3	178498
tt0084726	movie	Star Trek II: The Wrath of Khan	1982	7.7	128694
tt0084787	movie	The Thing	1982	8.2	462809
tt0084805	movie	Tootsie	1982	7.4	114051
tt0085334	movie	A Christmas Story	1983	7.9	168320
tt0085794	movie	The King of Comedy	1982	7.8	117981
tt0085959	movie	The Meaning of Life	1983	7.5	124893
tt0085995	movie	Vacation	1983	7.3	119511
tt0086190	movie	Star Wars: Episode VI - Return of the Jedi	1983	8.3	1114261
tt0086250	movie	Scarface	1983	8.3	909224
tt0086465	movie	Trading Places	1983	7.5	164791
tt0086541	movie	Videodrome	1983	7.2	102220
tt0086567	movie	WarGames	1983	7.1	109924
tt0086879	movie	Amadeus	1984	8.4	425091
tt0086960	movie	Beverly Hills Cop	1984	7.4	200521
tt0086979	movie	Blood Simple	1984	7.5	104338
tt0087332	movie	Ghostbusters	1984	7.8	442459
tt0087363	movie	Gremlins	1984	7.3	246296
tt0087469	movie	Indiana Jones and the Temple of Doom	1984	7.5	532714
tt0087538	movie	The Karate Kid	1984	7.3	242840
tt0087544	movie	Nausicaä of the Valley of the Wind	1984	8.0	181186
tt0087800	movie	A Nightmare on Elm Street	1984	7.4	260712
tt0087843	movie	Once Upon a Time in America	1984	8.3	375200
tt0087884	movie	Paris, Texas	1984	8.1	117166
tt0088247	movie	The Terminator	1984	8.1	918137
tt0088258	movie	This Is Spinal Tap	1984	7.9	146585
tt0088323	movie	The NeverEnding Story	1984	7.3	155701
tt0088763	movie	Back to the Future	1985	8.5	1296711
tt0088846	movie	Brazil	1985	7.9	210424
tt0088847	movie	The Breakfast Club	1985	7.8	433487
tt0088930	movie	Clue	1985	7.2	108253
tt0089218	movie	The Goonies	1985	7.7	296230
tt0089881	movie	Ran	1985	8.2	135155
tt0090329	movie	Witness	1985	7.4	103916
tt0090605	movie	Aliens	1986	8.4	757942
tt0090728	movie	Big Trouble in Little China	1986	7.2	152736
tt0090756	movie	Blue Velvet	1986	7.7	214239
tt0091042	movie	Ferris Bueller's Day Off	1986	7.8	384105
tt0091064	movie	The Fly	1986	7.6	200381
tt0091369	movie	Labyrinth	1986	7.3	148502
tt0091605	movie	The Name of the Rose	1986	7.7	116490
tt0091763	movie	Platoon	1986	8.1	436814
tt0092005	movie	Stand by Me	1986	8.1	438264
tt0092067	movie	Castle in the Sky	1986	8.0	180501
tt0092400	tvSeries	Married... with Children	1987	8.1	110514
tt0092455	tvSeries	Star Trek: The Next Generation	1987	8.7	134703
tt0092965	movie	Empire of the Sun	1987	7.7	133650
tt0092991	movie	Evil Dead II	1987	7.7	180907
tt0093058	movie	Full Metal Jacket	1987	8.3	785718
tt0093105	movie	Good Morning, Vietnam	1987	7.3	152696
tt0093389	movie	The Last Emperor	1987	7.7	110707
tt0093409	movie	Lethal Weapon	1987	7.6	274886
tt0093437	movie	The Lost Boys	1987	7.2	159900
tt0093748	movie	Planes, Trains & Automobiles	1987	7.6	159339
tt0093773	movie	Predator	1987	7.8	451531
tt0093779	movie	The Princess Bride	1987	8.0	448743
tt0093822	movie	Raising Arizona	1987	7.3	149244
tt0093870	movie	RoboCop	1987	7.6	280937
tt0094012	movie	Spaceballs	1987	7.1	205191
tt0094226	movie	The Untouchables	1987	7.8	329038
tt0094291	movie	Wall Street	1987	7.3	164410
tt0094625	movie	Akira	1988	8.0	203485
tt0094721	movie	Beetlejuice	1988	7.5	335010
tt0094737	movie	Big	1988	7.3	238642
tt0094898	movie	Coming to America	1988	7.1	222207
tt0095016	movie	Die Hard	1988	8.2	939971
tt0095159	movie	A Fish Called Wanda	1988	7.5	153080
tt0095327	movie	Grave of the Fireflies	1988	8.5	306871
tt0095647	movie	Mississippi Burning	1988	7.8	109657
tt0095705	movie	The Naked Gun: From the Files of Police Squad!	1988	7.6	183298
tt0095765	movie	Cinema Paradiso	1988	8.5	280705
tt0095953	movie	Rain Man	1988	8.0	543538
tt0096256	movie	They Live	1988	7.2	144155
tt0096283	movie	My Neighbor Totoro	1988	8.1	375977
tt0096438	movie	Who Framed Roger Rabbit	1988	7.7	215575
tt0096446	movie	Willow	1988	7.2	129365
tt0096657	tvSeries	Mr. Bean	1990	8.6	132054
tt0096697	tvSeries	The Simpsons	1989	8.7	433284
tt0096754	movie	The Abyss	1989	7.5	190882
tt0096874	movie	Back to the Future Part II	1989	7.8	568993
tt0096895	movie	Batman	1989	7.5	401887
tt0096969	movie	Born on the Fourth of July	1989	7.2	115241
tt0097165	movie	Dead Poets Society	1989	8.1	540085
tt0097216	movie	Do the Right Thing	1989	8.0	111614
tt0097239	movie	Driving Miss Daisy	1989	7.3	116954
tt0097351	movie	Field of Dreams	1989	7.5	127118
tt0097441	movie	Glory	1989	7.8	143546
tt0097493	movie	Heathers	1988	7.2	114815
tt0097576	movie	Indiana Jones and the Last Crusade	1989	8.2	806737
tt0097733	movie	Lethal Weapon 2	1989	7.3	187842
tt0097757	movie	The Little Mermaid	1989	7.6	289185
tt0097814	movie	Kiki's Delivery Service	1989	7.8	163433
tt0097958	movie	National Lampoon's Christmas Vacation	1989	7.5	219440
tt0098554	movie	Uncle Buck	1989	7.1	107132
tt0098635	movie	When Harry Met Sally...	1989	7.7	240647
tt0098800	tvSeries	The Fresh Prince of Bel-Air	1990	7.9	143816
tt0098904	tvSeries	Seinfeld	1989	8.9	348442
tt0098936	tvSeries	Twin Peaks	1990	8.8	213609
tt0099077	movie	Awakenings	1990	7.8	157314
tt0099088	movie	Back to the Future Part III	1990	7.4	477969
tt0099348	movie	Dances with Wolves	1990	8.0	288319
tt0099423	movie	Die Hard 2	1990	7.1	381605
tt0099487	movie	Edward Scissorhands	1990	7.9	521011
tt0099653	movie	Ghost	1990	7.1	234222
tt0099674	movie	The Godfather Part III	1990	7.6	421766
tt0099685	movie	Goodfellas	1990	8.7	1247394
tt0099785	movie	Home Alone	1990	7.7	649451
tt0099810	movie	The Hunt for Red October	1990	7.5	213309
tt0099871	movie	Jacob's Ladder	1990	7.4	117247
tt0100150	movie	Miller's Crossing	1990	7.7	141474
tt0100157	movie	Misery	1990	7.8	233604
tt0100405	movie	Pretty Woman	1990	7.1	358024
tt0100802	movie	Total Recall	1990	7.5	352206
tt0100814	movie	Tremors	1990	7.2	148976
tt0100935	movie	Wild at Heart	1990	7.2	100308
tt0101410	movie	Barton Fink	1991	7.6	128409
tt0101414	movie	Beauty and the Beast	1991	8.0	477488
tt0101507	movie	Boyz n the Hood	1991	7.8	153412
tt0101540	movie	Cape Fear	1991	7.3	214923
tt0102138	movie	JFK	1991	8.0	169040
tt0102685	movie	Point Break	1991	7.3	200096
tt0102926	movie	The Silence of the Lambs	1991	8.6	1536433
tt0103064	movie	Terminator 2: Judgment Day	1991	8.6	1166365
tt0103074	movie	Thelma & Louise	1991	7.6	171175
tt0103359	tvSeries	Batman: The Animated Series	1992	9.0	115667
tt0103639	movie	Aladdin	1992	8.0	462630
tt0103776	movie	Batman Returns	1992	7.1	325548
tt0103873	movie	Dead Alive	1992	7.5	102758
tt0103874	movie	Bram Stoker's Dracula	1992	7.4	236802
tt0104257	movie	A Few Good Men	1992	7.7	285422
tt0104348	movie	Glengarry Glen Ross	1992	7.7	115152
tt0104652	movie	Porco Rosso	1992	7.7	100927
tt0104691	movie	The Last of the Mohicans	1992	7.7	186130
tt0104694	movie	A League of Their Own	1992	7.3	120051
tt0104797	movie	Malcolm X	1992	7.7	101478
tt0104952	movie	My Cousin Vinny	1992	7.6	139019
tt0105236	movie	Reservoir Dogs	1992	8.3	1081168
tt0105323	movie	Scent of a Woman	1992	8.0	326170
tt0105665	movie	Twin Peaks: Fire Walk with Me	1992	7.3	104409
tt0105695	movie	Unforgiven	1992	8.2	433774
tt0106179	tvSeries	The X-Files	1993	8.6	247521
tt0106308	movie	Army of Darkness	1992	7.4	193381
tt0106489	movie	A Bronx Tale	1993	7.8	159290
tt0106519	movie	Carlito's Way	1993	7.9	231182
tt0106677	movie	Dazed and Confused	1993	7.6	198026
tt0106856	movie	Falling Down	1993	7.6	205293
tt0106977	movie	The Fugitive	1993	7.8	316298
tt0107048	movie	Groundhog Day	1993	8.0	680480
tt0107206	movie	In the Line of Fire	1993	7.2	112974
tt0107207	movie	In the Name of the Father	1993	8.1	185987
tt0107290	movie	Jurassic Park	1993	8.2	1059136
tt0107614	movie	Mrs. Doubtfire	1993	7.1	289050
tt0107688	movie	The Nightmare Before Christmas	1993	7.9	373319
tt0107818	movie	Philadelphia	1993	7.7	256744
tt0108037	movie	The Sandlot	1993	7.8	101535
tt0108052	movie	Schindler's List	1993	9.0	1439792
tt0108358	movie	Tombstone	1993	7.8	164687
tt0108394	movie	Three Colors: Blue	1993	7.9	109807
tt0108399	movie	True Romance	1993	7.9	241038
tt0108550	movie	What's Eating Gilbert Grape	1993	7.7	252663
tt0108778	tvSeries	Friends	1994	8.9	1079650
tt0109445	movie	Clerks	1994	7.7	231555
tt0109506	movie	The Crow	1994	7.5	198454
tt0109686	movie	Dumb and Dumber	1994	7.3	409112
tt0109707	movie	Ed Wood	1994	7.8	183366
tt0109830	movie	Forrest Gump	1994	8.8	2237830
tt0109831	movie	Four Weddings and a Funeral	1994	7.1	164980
tt0110148	movie	Interview with the Vampire: The Vampire Chronicles	1994	7.5	345238
tt0110322	movie	Legends of the Fall	1994	7.5	181551
tt0110357	movie	The Lion King	1994	8.5	1133660
tt0110413	movie	Léon: The Professional	1994	8.5	1236892
tt0110632	movie	Natural Born Killers	1994	7.2	250416
tt0110912	movie	Pulp Fiction	1994	8.9	2201269
tt0111161	movie	The Shawshank Redemption	1994	9.3	2866302
tt0111257	movie	Speed	1994	7.3	389379
tt0111495	movie	Three Colors: Red	1994	8.1	109400
tt0111503	movie	True Lies	1994	7.3	278942
tt0112384	movie	Apollo 13	1995	7.7	313584
tt0112461	movie	The Basketball Diaries	1995	7.3	120301
tt0112471	movie	Before Sunrise	1995	8.1	336688
tt0112573	movie	Braveheart	1995	8.3	1086051
tt0112641	movie	Casino	1995	8.2	559751
tt0112740	movie	Crimson Tide	1995	7.3	122496
tt0112817	movie	Dead Man	1995	7.5	102656
tt0112818	movie	Dead Man Walking	1995	7.5	101222
tt0112851	movie	Desperado	1995	7.1	196720
tt0112864	movie	Die Hard with a Vengeance	1995	7.6	406475
tt0113118	movie	Friday	1995	7.2	123674
tt0113189	movie	GoldenEye	1995	7.2	269216
tt0113247	movie	La haine	1995	8.1	194233
tt0113277	movie	Heat	1995	8.3	713730
tt0113497	movie	Jumanji	1995	7.1	374124
tt0113568	movie	Ghost in the Shell	1995	7.9	155613
tt0113627	movie	Leaving Las Vegas	1995	7.5	133690
tt0114369	movie	Se7en	1995	8.6	1783352
tt0114388	movie	Sense and Sensibility	1995	7.7	124740
tt0114709	movie	Toy Story	1995	8.3	1061326
tt0114746	movie	12 Monkeys	1995	8.0	643973
tt0114814	movie	The Usual Suspects	1995	8.5	1139063
tt0116209	movie	The English Patient	1996	7.4	199144
tt0116282	movie	Fargo	1996	8.1	721666
tt0116367	movie	From Dusk Till Dawn	1996	7.2	338125
tt0116695	movie	Jerry Maguire	1996	7.3	285312
tt0116922	movie	Lost Highway	1997	7.6	152268
tt0117060	movie	Mission: Impossible	1996	7.2	467704
tt0117318	movie	The People vs. Larry Flynt	1996	7.3	100321
tt0117381	movie	Primal Fear	1996	7.7	244919
tt0117500	movie	The Rock	1996	7.4	356336
tt0117571	movie	Scream	1996	7.4	385708
tt0117665	movie	Sleepers	1996	7.5	236580
tt0117731	movie	Star Trek: First Contact	1996	7.6	131573
tt0117913	movie	A Time to Kill	1996	7.5	180481
tt0117951	movie	Trainspotting	1996	8.1	721927
tt0118276	tvSeries	Buffy the Vampire Slayer	1997	8.3	158671
tt0118421	tvSeries	Oz	1997	8.7	106035
tt0118480	tvSeries	Stargate SG-1	1997	8.4	100708
tt0118617	movie	Anastasia	1997	7.1	135197
tt0118694	movie	In the Mood for Love	2000	8.1	165498
tt0118715	movie	The Big Lebowski	1998	8.1	855442
tt0118749	movie	Boogie Nights	1997	7.9	280737
tt0118799	movie	Life Is Beautiful	1997	8.6	738443
tt0118842	movie	Chasing Amy	1997	7.2	143326
tt0118884	movie	Contact	1997	7.5	291579
tt0118929	movie	Dark City	1998	7.6	211096
tt0118971	movie	The Devil's Advocate	1997	7.5	399372
tt0119008	movie	Donnie Brasco	1997	7.7	330272
